Experiment,Features
DS_TRUE,"['x1', 'x2', 'x3']"
DS1AvgSIZ,"['noise7', 'corr2', 'noise9', 'x1', 'noise2', 'x3', 'noise1']"
DS1AvgDIZ,"['noise7', 'corr2', 'noise9', 'x1', 'noise2', 'x3', 'noise1']"
DS1MinSIZ,"['noise7', 'corr2', 'x1', 'x3']"
DS1MinDIZ,"['noise7', 'corr2', 'x1', 'x3']"
DS2AvgSIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2AvgDIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2MinSIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2MinDIZ,"['x3', 'x2', 'x1', 'corr2']"
DS3AvgSIZ,"['x3', 'x2', 'x1', 'noise6']"
DS3AvgDIZ,"['x3', 'x2', 'x1', 'noise6']"
DS3MinSIZ,"['x3', 'x2', 'x1', 'noise6', 'noise4']"
DS3MinDIZ,"['x3', 'x2', 'x1', 'noise6', 'noise4']"
DS4AvgSIZ,"['noise9', 'corr2', 'noise7', 'noise2', 'x2', 'x3', 'x1']"
DS4AvgDIZ,"['noise9', 'corr2', 'noise7', 'noise2', 'x2', 'x3', 'x1']"
DS4MinSIZ,"['noise9', 'corr2', 'noise7', 'x2', 'x3', 'x1']"
DS4MinDIZ,"['noise9', 'corr2', 'noise7', 'x2', 'x3', 'x1']"
DS5AvgSIZ,"['x1', 'noise4', 'x2', 'x3', 'noise2', 'noise10']"
DS5AvgDIZ,"['x1', 'noise4', 'x2', 'x3', 'noise2', 'noise10']"
DS5MinSIZ,"['x1', 'x2', 'x3', 'noise10']"
DS5MinDIZ,"['x1', 'x2', 'x3', 'noise10']"
DS6AvgSIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6AvgDIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6MinSIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6MinDIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS7AvgSIZ,"['x3', 'x2', 'x1', 'noise6']"
DS7AvgDIZ,"['x3', 'x2', 'x1', 'noise6']"
DS7MinSIZ,"['x3', 'x2', 'x1', 'noise7']"
DS7MinDIZ,"['x3', 'x2', 'x1', 'noise7']"
DS8AvgSIZ,"['x3', 'x1', 'noise4', 'noise9', 'x2', 'noise3']"
DS8AvgDIZ,"['x3', 'x1', 'noise4', 'noise9', 'x2', 'noise3']"
DS8MinSIZ,"['x3', 'x1', 'corr2', 'x2', 'noise3']"
DS8MinDIZ,"['x3', 'x1', 'corr2', 'x2', 'noise3']"
DS9AvgSIZ,"['x3', 'x2', 'x1', 'noise6', 'corr2']"
DS9AvgDIZ,"['x3', 'x2', 'x1', 'noise6', 'corr2']"
DS9MinSIZ,"['x3', 'x2', 'x1', 'noise6', 'corr2']"
DS9MinDIZ,"['x3', 'x2', 'x1', 'noise6', 'corr2']"
DS10AvgSIZ,"['x3', 'x2', 'x1', 'noise4', 'noise3']"
DS10AvgDIZ,"['x3', 'x2', 'x1', 'noise4', 'noise3']"
DS10MinSIZ,"['x3', 'x2', 'x1', 'noise3', 'noise7']"
DS10MinDIZ,"['x3', 'x2', 'x1', 'noise3', 'noise7']"
DM_TRUE,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6']"
DM1AvgSIZ,"['x1', 'x2', 'x6', 'x3', 'x5', 'x4', 'noise22', 'noise21', 'noise50', 'noise29', 'noise34', 'noise15', 'noise36', 'noise49']"
DM1AvgDIZ,"['x1', 'x2', 'x6', 'x3', 'x5', 'x4', 'noise22', 'noise21', 'noise50', 'noise29', 'noise34', 'noise15', 'noise36', 'noise49']"
DM1MinSIZ,"['x1', 'x2', 'x6', 'x3', 'x5', 'x4', 'noise21', 'noise50', 'noise29', 'noise17', 'noise36', 'noise49', 'corr1', 'noise20', 'noise5']"
DM1MinDIZ,"['x1', 'x2', 'x6', 'x3', 'x5', 'x4', 'noise21', 'noise50', 'noise29', 'noise17', 'noise15', 'noise23', 'corr1', 'noise5']"
DM2AvgSIZ,"['x6', 'x1', 'corr3', 'x2', 'noise3', 'noise14', 'noise27', 'noise50', 'noise44', 'noise20', 'x3', 'noise41', 'noise15', 'corr1', 'noise47']"
DM2AvgDIZ,"['x6', 'x1', 'corr3', 'x2', 'noise3', 'noise14', 'noise27', 'noise50', 'noise44', 'noise20', 'x3', 'noise41', 'noise15', 'corr1', 'noise47']"
DM2MinSIZ,"['x6', 'x1', 'x2', 'noise3', 'noise14', 'noise27', 'noise50', 'noise44', 'x3', 'noise15']"
DM2MinDIZ,"['x6', 'x1', 'x2', 'noise3', 'noise14', 'noise27', 'noise50', 'noise44', 'x3', 'noise15']"
DM3AvgSIZ,"['x5', 'x2', 'x6', 'x4', 'noise31', 'noise1', 'noise30', 'noise10', 'noise34', 'noise8', 'noise5', 'noise33']"
DM3AvgDIZ,"['x5', 'x2', 'x6', 'x4', 'noise31', 'noise1', 'noise30', 'noise7', 'noise9', 'noise34', 'noise22', 'noise33']"
DM3MinSIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise31', 'noise30', 'noise7', 'noise10', 'noise34', 'noise3', 'noise5', 'noise38', 'noise11', 'noise33', 'corr1', 'noise23']"
DM3MinDIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise31', 'noise30', 'noise7', 'noise10', 'noise34', 'noise3', 'noise5', 'noise38', 'noise11', 'noise33', 'corr1', 'noise23']"
DM4AvgSIZ,"['x5', 'x2', 'x6', 'x4', 'noise27', 'noise11', 'noise45', 'noise26', 'noise1', 'noise22', 'corr3', 'noise19', 'noise24', 'noise8']"
DM4AvgDIZ,"['x5', 'x2', 'x6', 'x4', 'noise27', 'noise11', 'noise45', 'noise26', 'noise1', 'noise22', 'noise19', 'noise24', 'noise8']"
DM4MinSIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise27', 'noise18', 'noise40', 'noise11', 'noise45', 'noise26', 'noise1', 'noise35', 'noise22', 'noise9', 'corr3', 'noise19', 'noise7']"
DM4MinDIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise27', 'noise18', 'noise40', 'noise11', 'noise45', 'noise26', 'noise1', 'noise35', 'noise22', 'noise9', 'corr3', 'noise19', 'noise7']"
DM5AvgSIZ,"['x2', 'x4', 'x6', 'x3', 'noise50', 'x1', 'noise7', 'x5', 'noise48', 'noise17', 'noise45', 'corr1', 'noise5', 'noise49', 'noise16', 'noise12']"
DM5AvgDIZ,"['x2', 'x4', 'x6', 'x3', 'noise50', 'x1', 'noise7', 'x5', 'noise48', 'noise17', 'noise45', 'corr1', 'noise5', 'noise49', 'noise16', 'noise12']"
DM5MinSIZ,"['x2', 'x4', 'x6', 'x3', 'noise50', 'x1', 'noise7', 'noise17', 'noise45', 'corr1', 'noise5', 'noise10', 'noise23', 'noise26', 'noise15', 'noise27', 'noise28']"
DM5MinDIZ,"['x2', 'x4', 'x6', 'x3', 'noise50', 'x1', 'noise7', 'noise17', 'noise45', 'corr1', 'noise5', 'noise10', 'noise23', 'noise26', 'noise15', 'noise27', 'noise28']"
DM6AvgSIZ,"['x5', 'x2', 'x1', 'x6', 'x4', 'noise44', 'noise16', 'noise5', 'noise42', 'noise17']"
DM6AvgDIZ,"['x5', 'x2', 'x1', 'x6', 'x4', 'noise44', 'noise16', 'noise5', 'noise42', 'noise17']"
DM6MinSIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise36', 'noise18', 'noise4', 'noise16', 'noise5', 'corr2', 'noise26', 'noise42', 'noise23', 'noise43']"
DM6MinDIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'x4', 'noise36', 'noise18', 'noise4', 'noise16', 'noise5', 'noise26', 'noise39', 'noise42', 'noise17', 'noise23', 'noise38']"
DM7AvgSIZ,"['x6', 'x3', 'x5', 'noise23', 'noise46', 'noise36']"
DM7AvgDIZ,"['x6', 'x3', 'x5', 'noise23', 'noise46', 'noise36', 'noise39', 'noise43', 'noise34']"
DM7MinSIZ,"['x6', 'x3', 'x5', 'x1', 'noise32', 'noise23']"
DM7MinDIZ,"['x6', 'x3', 'x5', 'x1', 'noise32', 'noise23', 'noise36', 'noise39', 'noise49']"
DM8AvgSIZ,"['x5', 'x2', 'x6', 'corr1', 'noise14', 'noise35', 'noise21', 'corr4', 'noise13']"
DM8AvgDIZ,"['x5', 'x2', 'x6', 'corr1', 'noise14', 'noise35', 'noise21', 'corr4', 'noise41', 'noise26', 'noise9', 'noise13']"
DM8MinSIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'corr1', 'noise14', 'noise18', 'noise35', 'x4', 'noise21', 'noise44', 'noise10', 'noise26', 'noise9', 'noise13']"
DM8MinDIZ,"['x5', 'x2', 'x1', 'x3', 'x6', 'corr1', 'noise14', 'noise18', 'noise35', 'x4', 'noise21', 'noise44', 'noise10', 'noise26', 'noise9', 'noise13']"
DM9AvgSIZ,"['x1', 'x2', 'x6', 'x3', 'x4', 'corr3', 'noise48', 'noise32', 'noise31', 'noise3', 'noise1', 'noise13', 'noise29', 'corr2']"
DM9AvgDIZ,"['x1', 'x2', 'x6', 'x3', 'x4', 'corr3', 'noise48', 'noise32', 'noise31', 'noise3', 'noise1', 'noise13', 'noise29', 'corr2']"
DM9MinSIZ,"['x1', 'x2', 'x6', 'x3', 'x4', 'corr3', 'noise4', 'noise19', 'noise22', 'noise32', 'noise3', 'noise10', 'x5']"
DM9MinDIZ,"['x1', 'x2', 'x6', 'x3', 'x4', 'corr3', 'noise4', 'noise19', 'noise22', 'noise32', 'noise3', 'noise10', 'x5']"
DM10AvgSIZ,"['x2', 'noise46', 'noise39', 'noise25', 'noise22', 'noise26', 'x3', 'x4', 'noise41', 'noise21']"
DM10AvgDIZ,"['x2', 'noise46', 'noise29', 'noise26', 'x3', 'noise11', 'x4', 'noise38', 'noise13', 'noise6', 'noise30', 'noise5', 'noise33', 'noise24']"
DM10MinSIZ,"['x2', 'x1', 'noise46', 'noise39', 'noise26', 'noise15', 'noise40', 'x4', 'noise38', 'noise31', 'noise13', 'noise6', 'noise24']"
DM10MinDIZ,"['x2', 'x1', 'noise46', 'noise39', 'x3', 'noise40', 'x4', 'noise20', 'noise41', 'noise6', 'noise24']"
DL_TRUE,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10']"
DL1AvgSIZ,"['x4', 'x1', 'x5', 'x6', 'x10', 'x8', 'x3', 'x9', 'noise94', 'x7', 'noise113', 'noise68', 'noise96', 'noise91', 'noise123', 'noise75', 'noise98', 'noise11', 'noise16', 'corr1', 'noise55']"
DL1AvgDIZ,"['x4', 'x1', 'x5', 'x6', 'x10', 'x8', 'x3', 'x9', 'noise94', 'x7', 'noise113', 'noise68', 'noise96', 'noise91', 'noise123', 'noise76', 'noise44', 'noise5', 'noise75', 'noise102', 'noise22', 'noise16', 'corr1', 'noise55', 'noise69', 'noise40', 'noise57']"
DL1MinSIZ,"['x4', 'x1', 'x5', 'x2', 'x6', 'x10', 'x8', 'x3', 'x9', 'noise94', 'x7', 'noise68', 'noise96', 'noise65', 'noise4', 'noise91', 'noise13', 'noise8', 'noise123', 'noise93', 'noise5', 'noise110', 'noise98', 'noise11', 'noise127', 'noise37', 'noise16', 'noise10', 'noise24', 'noise21', 'noise53', 'noise7', 'corr1', 'noise55', 'noise29', 'noise69', 'noise9', 'noise39', 'noise112', 'noise104']"
DL1MinDIZ,"['x4', 'x1', 'x5', 'x2', 'x6', 'x10', 'x8', 'x3', 'x9', 'noise94', 'x7', 'noise68', 'noise96', 'noise65', 'noise4', 'noise106', 'noise131', 'noise8', 'noise44', 'noise5', 'noise75', 'noise98', 'noise11', 'noise37', 'noise31', 'noise16', 'noise21', 'noise7', 'corr1', 'noise55', 'noise51', 'noise39', 'noise104']"
DL2AvgSIZ,"['x10', 'x7', 'noise85', 'x8', 'noise59', 'x2', 'x4', 'x3', 'noise58', 'noise15', 'x9', 'noise103', 'noise35', 'noise54', 'noise114', 'noise134', 'noise83', 'noise12', 'noise101', 'noise135', 'x5', 'noise44', 'noise55', 'noise64', 'noise21', 'noise77', 'noise33', 'noise23', 'noise91', 'noise27', 'noise25']"
DL2AvgDIZ,"['x10', 'x7', 'noise85', 'x8', 'noise59', 'x2', 'x4', 'x3', 'noise58', 'noise15', 'x9', 'noise70', 'noise54', 'noise31', 'noise32', 'noise19', 'noise83', 'corr4', 'noise4', 'noise92', 'x5', 'noise44', 'noise108', 'noise18', 'noise55', 'noise64', 'noise77', 'noise33', 'noise86', 'noise23', 'noise91', 'noise25']"
DL2MinSIZ,"['x10', 'x7', 'x1', 'noise85', 'x8', 'noise59', 'x2', 'x4', 'x6', 'x3', 'noise94', 'noise15', 'x9', 'noise103', 'noise70', 'corr5', 'noise35', 'noise54', 'noise90', 'noise134', 'noise32', 'noise19', 'noise83', 'noise115', 'noise53', 'x5', 'noise127', 'noise10', 'noise44', 'noise108', 'noise18', 'noise64', 'noise16', 'noise102', 'noise23', 'noise49', 'noise2', 'noise27', 'noise118']"
DL2MinDIZ,"['x10', 'x7', 'x1', 'noise85', 'x8', 'noise59', 'x2', 'x4', 'x6', 'x3', 'noise94', 'noise15', 'x9', 'noise103', 'noise70', 'corr5', 'noise35', 'noise54', 'noise90', 'noise134', 'noise32', 'noise19', 'noise83', 'noise115', 'noise53', 'x5', 'noise127', 'noise10', 'noise44', 'noise108', 'noise18', 'noise64', 'noise16', 'noise102', 'noise23', 'noise49', 'noise2', 'noise27', 'noise118']"
DL3AvgSIZ,"['noise35', 'noise43', 'noise76', 'noise85', 'x8', 'x6', 'x2', 'x7', 'noise128', 'x10', 'noise112', 'x9', 'x3', 'noise126', 'noise135', 'noise56', 'noise39', 'x5', 'noise61', 'noise49', 'noise89', 'noise113', 'noise80', 'noise33', 'noise42']"
DL3AvgDIZ,"['noise35', 'noise43', 'noise7', 'noise76', 'noise4', 'x8', 'noise59', 'x6', 'x4', 'x7', 'noise73', 'noise128', 'x10', 'noise112', 'x9', 'noise75', 'x3', 'noise126', 'noise41', 'x5', 'noise61', 'noise89', 'noise116', 'noise67', 'noise22', 'noise96', 'noise63', 'noise123', 'noise79', 'noise74', 'noise108', 'noise1', 'corr5', 'noise88', 'noise33', 'noise15', 'noise42']"
DL4AvgSIZ,"['corr2', 'noise10', 'noise103', 'noise113', 'noise117', 'noise118', 'noise122', 'noise127', 'noise129', 'noise24', 'noise29', 'noise52', 'noise56', 'noise58', 'noise6', 'noise68', 'noise72', 'noise77', 'noise79', 'noise8', 'noise82', 'noise84', 'noise85', 'x10', 'x2', 'x3', 'x4', 'x5', 'x6', 'x8', 'x9']"
DL4AvgDIZ,"['corr1', 'noise10', 'noise113', 'noise117', 'noise122', 'noise127', 'noise18', 'noise24', 'noise27', 'noise29', 'noise36', 'noise4', 'noise52', 'noise58', 'noise59', 'noise6', 'noise61', 'noise72', 'noise77', 'noise79', 'noise8', 'noise84', 'noise85', 'x10', 'x2', 'x3', 'x4', 'x5', 'x6', 'x8', 'x9']"
DL4MinSIZ,"['corr2', 'noise10', 'noise102', 'noise104', 'noise110', 'noise113', 'noise115', 'noise117', 'noise122', 'noise129', 'noise13', 'noise131', 'noise17', 'noise20', 'noise25', 'noise27', 'noise29', 'noise36', 'noise4', 'noise52', 'noise55', 'noise58', 'noise6', 'noise61', 'noise67', 'noise72', 'noise77', 'noise8', 'noise82', 'noise85', 'noise94', 'x1', 'x10', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9']"
DL4MinDIZ,"['x8', 'x9', 'x7', 'x1', 'x10', 'noise52', 'x2', 'x4', 'x6', 'noise58', 'x3', 'noise8', 'x5', 'noise29', 'noise10', 'noise72', 'noise131', 'noise113', 'noise122', 'noise85', 'noise18', 'noise61', 'noise100', 'noise115', 'noise6', 'noise104', 'noise110', 'noise77', 'noise30', 'noise25', 'noise26', 'noise133', 'noise103']"
DL5AvgSIZ,"['x10', 'x8', 'x2', 'x3', 'x9', 'x6', 'x4', 'noise67', 'noise59', 'x1', 'noise108', 'noise130', 'x7', 'noise77', 'noise36', 'noise34', 'noise135', 'noise50', 'noise98', 'noise4', 'noise106', 'noise68', 'noise104', 'noise39', 'noise61', 'noise102', 'noise95', 'noise23', 'noise15']"
DL5AvgDIZ,"['x10', 'x8', 'x2', 'x3', 'x9', 'x6', 'x4', 'noise67', 'noise59', 'x1', 'noise108', 'noise130', 'x7', 'noise77', 'noise36', 'noise34', 'noise135', 'noise69', 'noise46', 'noise2', 'noise50', 'noise76', 'noise98', 'noise4', 'noise68', 'noise39', 'noise61', 'noise102', 'noise49', 'noise95', 'noise23']"
DL5MinSIZ,"['x10', 'x8', 'x2', 'x3', 'x5', 'x9', 'x6', 'noise40', 'x4', 'noise67', 'noise59', 'noise114', 'noise108', 'noise130', 'noise88', 'x7', 'noise14', 'noise10', 'noise78', 'noise90', 'noise69', 'noise50', 'noise76', 'noise4', 'noise13', 'noise84', 'corr2', 'noise68', 'noise104', 'noise83', 'noise39', 'noise20', 'corr5', 'noise61', 'noise110', 'noise102', 'noise5', 'noise95']"
DL5MinDIZ,"['x10', 'x8', 'x2', 'x3', 'x5', 'x9', 'x6', 'noise40', 'x4', 'noise67', 'noise59', 'noise114', 'noise108', 'noise130', 'noise88', 'x7', 'noise14', 'noise10', 'noise78', 'noise90', 'noise2', 'noise98', 'noise13', 'noise106', 'corr2', 'noise68', 'noise104', 'noise83', 'corr5', 'noise61', 'noise110', 'noise102', 'noise23']"
DL6AvgSIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise93', 'noise133', 'x7', 'noise97', 'noise75', 'noise123', 'noise28', 'noise30', 'corr1', 'noise13', 'noise79', 'corr3', 'noise41', 'noise49', 'noise1', 'noise56', 'noise65', 'noise38', 'noise36', 'corr2', 'noise86', 'noise40', 'noise100', 'noise77']"
DL6AvgDIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise93', 'noise133', 'x7', 'noise97', 'noise75', 'noise123', 'noise28', 'noise30', 'corr1', 'noise13', 'noise61', 'noise39', 'noise76', 'noise79', 'noise52', 'noise41', 'noise1', 'noise108', 'corr4', 'noise36', 'corr2', 'noise86', 'noise40', 'noise77', 'noise113']"
DL6MinSIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise14', 'x5', 'x7', 'corr5', 'noise75', 'noise35', 'noise41', 'noise1', 'noise108', 'noise38', 'noise60', 'noise36', 'noise45', 'corr2', 'noise23', 'noise80', 'x4', 'noise40', 'noise77']"
DL6MinDIZ,"['x6', 'x9', 'x10', 'x1', 'x8', 'noise134', 'x3', 'x2', 'noise101', 'noise14', 'x5', 'x7', 'corr5', 'noise75', 'noise29', 'noise25', 'noise35', 'noise18', 'noise41', 'noise38', 'noise60', 'noise45', 'noise2', 'noise112', 'corr2', 'noise23', 'noise80', 'x4', 'noise86', 'noise77', 'noise113']"
